,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP.1,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,Date
3170,Dwight Powell,Dallas Mavericks,26:20,9,12,0.75,1,1,1.0,3,3,1.0,4,3,7,0,1,0,1,1,22,-2,26:20,0.826,0.792,0.083,0.25,17.0,17.6,17.2,0.0,2.0,0.0,7.0,25.5,158.0,125.0,20220225
3171,Spencer Dinwiddie,Dallas Mavericks,25:53,8,12,0.667,3,4,0.75,1,1,1.0,0,2,2,2,1,0,1,2,20,0,25:53,0.804,0.792,0.333,0.083,0.0,12.0,5.0,13.7,2.0,0.0,7.4,24.3,146.0,126.0,20220225
3172,Maxi Kleber,Dallas Mavericks,24:40,1,7,0.143,1,6,0.167,0,0,0.0,1,2,3,4,2,2,1,2,3,-2,24:40,0.214,0.214,0.857,0.0,4.5,12.6,7.9,19.4,4.2,10.8,12.5,15.2,76.0,115.0,20220225
3173,Dāvis Bertāns,Dallas Mavericks,18:41,6,9,0.667,5,8,0.625,0,0,0.0,0,3,3,0,1,1,0,0,17,13,18:41,0.944,0.944,0.889,0.0,0.0,24.9,10.4,0.0,2.8,7.1,0.0,22.6,171.0,118.0,20220225
3174,Josh Green,Dallas Mavericks,11:42,0,0,0.0,0,0,0.0,0,0,0.0,0,2,2,0,0,0,0,2,0,10,11:42,0.0,0.0,0.0,0.0,0.0,26.5,11.1,0.0,0.0,0.0,0.0,0.0,0.0,128.0,20220225
3175,Sterling Brown,Dallas Mavericks,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20220225
3176,Trey Burke,Dallas Mavericks,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20220225
3177,Boban Marjanović,Dallas Mavericks,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20220225
3178,Marquese Chriss,Dallas Mavericks,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20220225
3179,Frank Ntilikina,Dallas Mavericks,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20220225
3180,Team Totals,Dallas Mavericks,240,42,88,0.477,17,39,0.436,8,8,1.0,8,22,30,22,9,3,11,21,109,0,240,0.595,0.574,0.443,0.091,18.6,71.0,40.5,52.4,9.8,8.3,10.7,100.0,118.9,124.4,20220225
3181,Luka Dončić,Dallas Mavericks,36:36,10,21,0.476,3,9,0.333,11,12,0.917,1,10,11,2,2,1,9,2,34,-5,36:36,0.647,0.548,0.429,0.571,3.5,25.7,16.2,10.1,2.7,2.5,25.5,44.1,100.0,98.0,20220227
3182,Dorian Finney-Smith,Dallas Mavericks,36:11,5,9,0.556,2,4,0.5,2,2,1.0,3,6,9,2,0,1,1,1,14,9,36:11,0.709,0.667,0.444,0.222,10.5,15.6,13.4,8.2,0.0,2.6,9.2,13.8,144.0,107.0,20220227
3183,Reggie Bullock,Dallas Mavericks,33:51,4,8,0.5,4,8,0.5,0,0,0.0,0,4,4,0,0,2,1,4,12,-10,33:51,0.75,0.75,1.0,0.0,0.0,11.1,6.4,0.0,0.0,5.5,11.1,12.2,126.0,106.0,20220227
3184,Jalen Brunson,Dallas Mavericks,31:41,4,9,0.444,0,1,0.0,0,0,0.0,0,2,2,5,1,0,2,3,8,5,31:41,0.444,0.444,0.111,0.0,0.0,5.9,3.4,23.0,1.6,0.0,18.2,15.9,94.0,108.0,20220227
3185,Dwight Powell,Dallas Mavericks,17:48,0,2,0.0,0,0,0.0,0,0,0.0,1,3,4,1,0,1,1,4,0,-15,17:48,0.0,0.0,0.0,0.0,7.1,15.9,12.1,6.9,0.0,5.2,33.3,7.7,45.0,104.0,20220227
