,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP.1,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,Date
3450,Joel Embiid,Philadelphia 76ers,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20220410
3451,Team Totals,Philadelphia 76ers,240,46,88,0.523,5,25,0.2,21,23,0.913,10,32,42,25,13,6,10,23,118,0,240,0.601,0.551,0.284,0.261,27.0,68.1,50.0,54.3,13.5,12.2,9.2,100.0,122.1,109.7,20220410
3452,James Harden,Philadelphia 76ers,40:08,6,17,0.353,4,7,0.571,6,7,0.857,2,3,5,14,1,1,1,0,22,14,40:08,0.548,0.471,0.412,0.412,6.3,10.0,8.1,46.7,1.3,2.3,4.7,24.7,142.0,125.0,20220416
3453,Tyrese Maxey,Philadelphia 76ers,38:26,14,21,0.667,5,8,0.625,5,5,1.0,1,3,4,2,0,0,0,0,38,20,38:26,0.819,0.786,0.381,0.238,3.3,10.4,6.8,9.8,0.0,0.0,0.0,28.4,167.0,129.0,20220416
3454,Joel Embiid,Philadelphia 76ers,37:09,5,15,0.333,0,2,0.0,9,11,0.818,4,11,15,4,0,1,0,5,19,16,37:09,0.479,0.333,0.133,0.733,13.6,39.5,26.2,14.1,0.0,2.5,0.0,25.1,128.0,122.0,20220416
3455,Tobias Harris,Philadelphia 76ers,37:04,9,14,0.643,3,5,0.6,5,6,0.833,1,5,6,6,1,1,1,2,26,17,37:04,0.781,0.75,0.357,0.429,3.4,18.0,10.5,24.8,1.4,2.5,5.7,22.4,160.0,123.0,20220416
3456,Danny Green,Philadelphia 76ers,22:24,1,6,0.167,0,5,0.0,0,0,0.0,2,1,3,0,0,0,0,2,2,12,22:24,0.167,0.167,0.833,0.0,11.3,6.0,8.7,0.0,0.0,0.0,0.0,12.6,71.0,130.0,20220416
3457,Matisse Thybulle,Philadelphia 76ers,18:48,1,1,1.0,1,1,1.0,0,0,0.0,0,2,2,0,1,0,0,3,3,3,18:48,1.5,1.5,1.0,0.0,0.0,14.2,6.9,0.0,2.8,0.0,0.0,2.5,300.0,122.0,20220416
3458,Georges Niang,Philadelphia 76ers,16:21,3,4,0.75,2,3,0.667,0,0,0.0,0,0,0,0,1,0,0,2,8,11,16:21,1.0,1.0,0.75,0.0,0.0,0.0,0.0,0.0,3.3,0.0,0.0,11.5,185.0,124.0,20220416
3459,Shake Milton,Philadelphia 76ers,14:08,3,4,0.75,1,1,1.0,3,3,1.0,0,1,1,2,1,0,0,0,10,2,14:08,0.94,0.875,0.25,0.75,0.0,9.4,4.6,20.7,3.8,0.0,0.0,17.7,199.0,121.0,20220416
